
Configuration FH_rang_c=0.945_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
4 6 1000 0.0447661 6 1.18635 4 0.817947 4.8 3.32922 3.20183 4 0.666 6 171.198 4 74.856 0.418 2 0.682 6 0.491667 0.318 6 0.582 2 0.508333
5 5 1000 0.586574 5 1.26131 4 0.990035 5 3.8291 3.32143 4 48.51 2 180.468 4 89.7516 0.406 2 0.576 5 0.45 0.424 5 0.594 2 0.55
6 6 1000 0.0447661 6 1.16352 4 0.83128 5 3.3677 3.03333 4 0.648 6 169.2 4 75.066 0.406 2 0.66 6 0.486 0.34 6 0.594 2 0.514
7 6 1000 0.0898027 6 1.14529 4 0.819901 4.8 3.31713 3.17757 4 2.736 6 162.936 4 74.757 0.406 3 0.682 6 0.489 0.318 6 0.594 3 0.511
8 6 1000 0.0447661 6 1.24817 4 0.841901 4.8 3.33422 3.30556 4 0.594 6 171.756 4 74.484 0.41 1 0.656 6 0.485667 0.344 6 0.59 1 0.514333
9 5 1000 0.620443 5 1.2886 4 0.996194 4.6 3.79559 3.47115 4 46.818 2 178.812 4 90.4032 0.408 4 0.582 5 0.4516 0.418 5 0.592 4 0.5484
10 6 1000 0.0633724 6 1.17608 4 0.837807 5 3.36282 3.08475 4 1.296 6 169.074 4 74.811 0.4 3 0.676 6 0.490333 0.324 6 0.6 3 0.509667




Configuration FHD_tour_t=2_n=1000_delta=10
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 13 1000 0.105463 13 0.55895 1 0.402995 2 1.74227 1.6088 10 3.564 13 81.558 10 34.5247 0.66 6 0.742 13 0.680385 0.258 13 0.34 6 0.319615
2 14 1000 0.0447661 14 0.539441 1 0.380803 2 1.69051 1.61283 10 0.612 14 83.052 10 32.1525 0.662 5 0.755 14 0.685714 0.245 14 0.338 5 0.314286
3 13 1000 0.139169 13 0.551227 1 0.405112 2 1.74199 1.56796 10 5.814 13 76.329 10 34.5441 0.656 3 0.758 13 0.680308 0.242 13 0.344 3 0.319692
4 13 1000 0.135388 13 0.531706 1 0.403374 2 1.73967 1.61282 10 5.67 13 78.507 10 34.5288 0.662 4 0.746 13 0.681769 0.254 13 0.338 4 0.318231
5 13 1000 0.127515 13 0.538911 1 0.404066 2 1.74191 1.57702 10 4.896 13 77.823 10 34.6715 0.66 1 0.74 13 0.679615 0.26 13 0.34 1 0.320385
6 14 1000 0.0316386 14 0.532435 1 0.372415 2 1.68969 1.5942 10 0.324 14 81.135 10 32.0567 0.661 7 0.756 14 0.689357 0.244 14 0.339 7 0.310643
7 13 1000 0.131507 13 0.548626 1 0.399704 2 1.74223 1.6 10 5.508 13 81.423 10 34.4783 0.66 4 0.742 13 0.680308 0.258 13 0.34 4 0.319692
8 13 1000 0.110208 13 0.548835 1 0.407224 2 1.74102 1.585 10 3.672 13 75.339 10 34.659 0.661 2 0.748 13 0.680692 0.252 13 0.339 2 0.319308
9 13 1000 0.127515 13 0.543095 1 0.400096 2 1.74038 1.63402 10 5.184 13 80.676 10 34.5129 0.658 4 0.753 13 0.683077 0.247 13 0.342 4 0.316923
10 14 1000 0.0316386 14 0.539858 1 0.376324 2 1.6878 1.61461 10 0.315 14 80.01 10 32.1686 0.655 9 0.759 14 0.687143 0.241 14 0.345 9 0.312857




Configuration FHD_tour_t=4_n=1000_delta=10
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 7 1000 0.0898027 7 1.01576 5 0.765398 4 2.9946 2.8355 5 2.592 7 140.751 5 64.1173 0.461 2 0.685 7 0.519 0.315 7 0.539 2 0.481
2 7 1000 0.119159 7 1.05654 5 0.771758 4 2.99518 2.87773 5 4.284 7 145.647 5 64.305 0.468 4 0.68 7 0.517857 0.32 7 0.532 4 0.482143
3 7 1000 0.114766 7 1.0197 5 0.774082 4 2.98751 2.82819 5 3.978 7 139.131 5 64.1533 0.46 4 0.682 7 0.509714 0.318 7 0.54 4 0.490286
4 7 1000 0.110208 7 1.03751 1 0.770909 4 2.99401 2.83913 5 3.78 7 142.497 5 64.125 0.457 1 0.683 7 0.515286 0.317 7 0.543 1 0.484714
5 7 1000 0.156813 7 1.01593 1 0.771143 4 2.97813 2.75 5 7.344 7 134.001 5 64.3899 0.46 1 0.672 7 0.511571 0.328 7 0.54 1 0.488429
6 7 1000 0.14646 7 1.0222 1 0.763446 4 2.97532 2.86636 5 6.804 7 137.151 5 64.1134 0.461 1 0.676 7 0.516857 0.324 7 0.539 1 0.483143
7 7 1000 0.119159 7 1.02358 1 0.75961 4 2.98292 2.78222 5 4.536 7 136.305 5 64.0311 0.447 3 0.67 7 0.512 0.33 7 0.553 3 0.488
8 7 1000 0.166581 7 1.02016 5 0.781054 4 2.98668 2.83628 5 8.262 7 137.592 5 64.3667 0.46 2 0.688 7 0.514143 0.312 7 0.54 2 0.485857
9 7 1000 0.114766 7 1.03227 5 0.764439 4 2.99984 2.8383 5 4.212 7 144.945 5 64.0954 0.461 1 0.666 7 0.514429 0.334 7 0.539 1 0.485571
10 7 1000 0.0952981 7 1.01935 5 0.769498 4 3.00747 2.7582 5 2.835 7 144.126 5 64.3371 0.46 2 0.682 7 0.513429 0.318 7 0.54 2 0.486571




Configuration FHD_tour_t=5_n=1000_delta=10
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 6 1000 0.248135 6 1.16244 1 0.908363 4.8 3.61197 2.07947 5 18.792 6 158.796 5 74.8035 0.407 1 0.668 6 0.473333 0.332 6 0.593 1 0.526667
2 6 1000 0.198749 6 1.17316 4 0.914546 5 3.6313 2.05556 5 11.628 6 155.097 5 75.0225 0.407 1 0.648 6 0.462667 0.352 6 0.593 1 0.537333
3 6 1000 0.245849 6 1.16813 1 0.918561 5 3.61434 2.09091 5 17.46 6 156.231 5 74.8455 0.405 2 0.676 6 0.4695 0.324 6 0.595 2 0.5305
4 6 1000 0.184733 6 1.20296 4 0.9107 5 3.64635 1.98563 5 10.395 6 153.531 5 74.8125 0.401 2 0.674 6 0.466667 0.326 6 0.599 2 0.533333
5 6 1000 0.219562 6 1.16738 4 0.91128 5 3.64236 1.99165 5 14.13 6 151.596 5 75.1215 0.405 1 0.648 6 0.465333 0.352 6 0.595 1 0.534667
6 6 1000 0.245856 6 1.14681 1 0.904776 4.4 3.58789 2.20327 5 18.468 6 168.156 5 74.799 0.421 1 0.649 6 0.471667 0.351 6 0.579 1 0.528333
7 6 1000 0.214535 6 1.1788 4 0.900335 5 3.64069 1.9793 5 14.256 6 154.944 5 74.703 0.407 1 0.647 6 0.466 0.353 6 0.593 1 0.534
8 6 1000 0.209377 6 1.14482 1 0.923055 5 3.62217 2.09628 5 12.879 6 156.915 5 75.0945 0.412 4 0.665 6 0.466 0.335 6 0.588 4 0.534
9 6 1000 0.206768 6 1.13443 4 0.905257 5 3.62126 2.08478 5 13.284 6 162.171 5 74.778 0.4 2 0.638 6 0.462167 0.362 6 0.6 2 0.537833
10 6 1000 0.209381 6 1.15497 4 0.910815 5 3.63582 2.0211 5 13.239 6 155.646 5 75.06 0.409 4 0.658 6 0.468833 0.342 6 0.591 4 0.531167




Configuration FHD_rang_c=0.945_n=100_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 5 100 0.100504 5 1.15256 3 0.777386 4.83333 3.17175 2.7931 3 19.6 5 1053.99 3 478.436 0.46 2 0.5 1 0.48 0.5 1 0.54 2 0.52
2 4 100 0.484046 4 1.15692 3 0.977898 4.83333 3.71525 2.7931 3 361.62 4 1039.29 3 605.15 0.47 1 0.48 3 0.475 0.52 3 0.53 1 0.525
3 4 100 0.483704 4 1.15485 3 0.97361 4.83333 3.71525 2.7931 3 370.93 4 1062.81 3 615.195 0.48 1 0.49 2 0.4825 0.51 2 0.52 1 0.5175
4 4 100 0.484176 4 1.15609 3 0.976313 4.83333 3.71525 2.7931 3 366.52 4 1051.05 3 607.232 0.48 2 0.49 1 0.4825 0.51 1 0.52 2 0.5175
5 5 100 0.100504 5 1.21627 3 0.805431 4.8 3.05102 3.125 3 18.13 5 1033.9 3 479.122 0.46 1 0.48 3 0.474 0.52 3 0.54 1 0.526
6 5 100 0.100504 5 1.19091 3 0.812616 5 3.07055 3.04 3 19.11 5 1029 3 486.57 0.46 1 0.48 2 0.476 0.52 2 0.54 1 0.524
7 5 100 0.100504 5 1.15301 3 0.772332 4.83333 3.17175 2.7931 3 20.09 5 1087.8 3 481.572 0.45 1 0.48 3 0.472 0.52 3 0.55 1 0.528
8 4 100 0.481261 4 1.19134 2 0.993545 4.83333 3.71525 2.7931 3 332.22 4 1052.52 3 609.438 0.45 1 0.48 2 0.4725 0.52 2 0.55 1 0.5275
9 4 100 0.482523 4 1.19269 2 0.979037 4.83333 3.71525 2.7931 3 343.98 4 1050.56 3 604.17 0.48 2 0.5 1 0.485 0.5 1 0.52 2 0.515
10 5 100 0.100504 5 1.15973 3 0.804126 4.83333 3.17175 2.7931 3 18.13 5 1038.8 3 485.884 0.48 1 0.49 2 0.482 0.51 2 0.52 1 0.518




Configuration FHD_rang_c=0.955_n=100_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 5 100 0.204124 5 1.02757 3 0.769168 4.2 2.94849 2.95238 3 78.4 5 851.62 3 478.436 0.52 1 0.54 3 0.534 0.46 3 0.48 1 0.466
2 5 100 0.274271 5 1.05568 3 0.789782 4.25 2.85029 3.23529 3 132.3 5 797.23 3 484.12 0.53 1 0.54 2 0.536 0.46 2 0.47 1 0.464
3 6 100 0.100504 6 1.04989 3 0.663258 4.25 2.5418 3.23529 3 19.11 6 818.79 3 410.13 0.53 2 0.57 1 0.543333 0.43 1 0.47 2 0.456667
4 5 100 0.229366 5 1.03625 3 0.774929 4.2 2.94745 2.95238 3 96.53 5 863.87 3 485.786 0.53 1 0.55 2 0.542 0.45 2 0.47 1 0.458
5 5 100 0.203998 5 1.06338 3 0.764959 4.2 2.9531 3 3 73.99 5 882.49 3 479.122 0.54 2 0.59 1 0.55 0.41 1 0.46 2 0.45
6 6 100 0.100504 6 1.05548 3 0.662378 4.25 2.5418 3.23529 3 19.11 6 814.87 3 405.475 0.54 3 0.56 1 0.545 0.44 1 0.46 3 0.455
7 6 100 0.100504 6 1.04306 3 0.637717 4.25 2.5418 3.23529 3 20.58 6 827.12 3 401.31 0.54 2 0.57 1 0.546667 0.43 1 0.46 2 0.453333
8 7 100 0 6 1.08457 3 0.567697 4 2.37994 3.05 3 0 6 893.76 3 348.25 0.54 3 0.56 2 0.545714 0.44 2 0.46 3 0.454286
9 5 100 0.203405 5 1.07815 3 0.789726 4.2 2.9531 3 3 72.03 5 892.29 3 483.336 0.54 1 0.54 1 0.54 0.46 1 0.46 1 0.46
10 5 100 0.274212 5 1.03302 3 0.784225 4.25 2.84479 3.17647 3 129.36 5 782.53 3 485.884 0.53 2 0.58 1 0.548 0.42 1 0.47 2 0.452




Configuration FHD_rang_c=0.979_n=100_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 10 100 0.100504 10 0.522477 5 0.360678 2.33333 1.70474 1.72727 5 19.6 10 502.74 5 239.218 0.74 2 0.77 1 0.751 0.23 1 0.26 2 0.249
2 10 100 0.100504 10 0.54505 5 0.375573 2.5 1.67161 1.54348 6 19.6 10 498.33 6 242.06 0.74 3 0.77 1 0.751 0.23 1 0.26 3 0.249
3 10 100 0.100504 10 0.514315 5 0.376906 2.5 1.67018 1.55556 6 19.11 10 506.17 6 246.078 0.74 4 0.76 3 0.751 0.24 3 0.26 4 0.249
4 10 100 0.100504 10 0.522074 1 0.379753 2.5 1.67695 1.5 6 19.11 10 479.22 6 242.893 0.7 1 0.75 4 0.742 0.25 4 0.3 1 0.258
5 10 100 0.100504 10 0.544565 5 0.364191 2.33333 1.69998 1.77419 5 19.6 10 510.58 5 239.561 0.75 1 0.77 3 0.754 0.23 3 0.25 1 0.246
6 11 100 0.0697077 10 0.515885 5 0.347173 2.5 1.60923 1.55556 6 20.09 10 500.78 6 221.168 0.73 2 0.75 3 0.747273 0.25 3 0.27 2 0.252727
7 11 100 0.0705628 10 0.512931 6 0.332888 2 1.60064 1.625 6 20.09 10 520.38 6 218.896 0.74 3 0.76 1 0.75 0.24 1 0.26 3 0.25
8 10 100 0.100504 10 0.548986 5 0.38082 2.5 1.66778 1.56818 6 19.11 10 496.37 6 243.775 0.75 2 0.77 1 0.753 0.23 1 0.25 2 0.247
9 10 100 0.0655813 9 0.540711 1 0.370758 2.33333 1.70489 1.72727 5 17.15 9 502.74 5 241.668 0.72 1 0.75 2 0.745 0.25 2 0.28 1 0.255
10 10 100 0.100504 10 0.524495 5 0.361471 2.33333 1.70294 1.75 5 18.13 10 497.35 5 242.942 0.75 3 0.79 1 0.759 0.21 1 0.25 3 0.241




Configuration FHD_rang_c=0.945_n=500_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 0.509345 3 3.19098 2 1.97493 14.1786 14.4793 14.1786 2 363.972 3 1491.46 2 820.423 0.15 1 0.154 2 0.152667 0.846 2 0.85 1 0.847333
2 3 100 0.506194 3 3.21307 2 1.95907 14.2143 14.4902 14.2143 2 362.208 3 1500.09 2 817.549 0.152 2 0.158 1 0.154667 0.842 1 0.848 2 0.845333
3 3 100 0.524763 3 3.21825 2 1.95844 14.5185 14.2647 14.5185 2 372.204 3 1495.97 2 815.458 0.152 2 0.16 1 0.155333 0.84 1 0.848 2 0.844667
4 3 100 0.506174 3 3.2361 2 1.97102 14.2143 14.4902 14.2143 2 372.596 3 1509.3 2 815.099 0.152 1 0.154 3 0.152667 0.846 3 0.848 1 0.847333
5 3 100 0.506223 3 3.21657 2 1.96597 14.2143 14.4902 14.2143 2 370.538 3 1490.19 2 814.413 0.152 2 0.154 1 0.153333 0.846 1 0.848 2 0.846667
6 3 100 0.52798 3 3.21485 2 1.9737 14.4815 14.2534 14.4815 2 384.748 3 1481.76 2 817.385 0.148 1 0.154 3 0.151333 0.846 3 0.852 1 0.848667
7 3 100 0.527989 3 3.20629 2 1.95285 14.4815 14.2534 14.4815 2 405.916 3 1472.45 2 814.021 0.152 1 0.154 2 0.153333 0.846 2 0.848 1 0.846667
8 3 100 0.505452 3 3.23106 2 1.97561 14.2143 14.4902 14.2143 2 338.982 3 1488.42 2 811.048 0.152 2 0.156 1 0.154 0.844 1 0.848 2 0.846
9 3 100 0.509292 3 3.20595 2 1.96133 14.1786 14.4793 14.1786 2 366.03 3 1510.08 2 820.325 0.152 1 0.154 2 0.153333 0.846 2 0.848 1 0.846667
10 3 100 0.524847 3 3.23291 2 1.99842 14.5185 14.2647 14.5185 2 383.376 3 1462.85 2 814.609 0.152 2 0.154 1 0.153333 0.846 1 0.848 2 0.846667




Configuration FHD_rang_c=0.955_n=500_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 0.727271 3 2.94999 2 1.91735 14.2174 12.9155 14.2174 2 565.068 1 1283.02 2 820.423 0.18 1 0.18 1 0.18 0.82 1 0.82 1 0.82
2 3 100 0.756338 3 2.95684 2 1.90522 14.4545 12.6756 14.4545 2 547.82 1 1254.69 2 817.549 0.178 1 0.18 2 0.179333 0.82 2 0.822 1 0.820667
3 3 100 0.726883 3 2.97281 2 1.90063 14.2174 12.9155 14.2174 2 542.92 1 1303.01 2 815.458 0.176 2 0.184 1 0.18 0.816 1 0.824 2 0.82
4 3 100 0.730314 3 2.96002 2 1.90638 14.1739 12.9026 14.1739 2 526.554 1 1278.51 2 815.099 0.178 1 0.182 2 0.18 0.818 2 0.822 1 0.82
5 3 100 0.75318 3 2.95175 2 1.90708 14.5 12.6891 14.5 2 539.98 1 1244.01 2 814.413 0.178 1 0.18 2 0.179333 0.82 2 0.822 1 0.820667
6 3 100 0.72722 3 2.96579 2 1.91384 14.2174 12.9155 14.2174 2 550.76 1 1288.7 2 817.385 0.176 1 0.18 2 0.178667 0.82 2 0.824 1 0.821333
7 3 100 0.727342 3 2.92813 2 1.88263 14.2174 12.9155 14.2174 2 528.71 1 1268.51 2 814.021 0.18 2 0.184 1 0.181333 0.816 1 0.82 2 0.818667
8 3 100 0.725454 3 2.99411 2 1.92331 14.2174 12.9155 14.2174 2 567.028 1 1279.78 2 811.048 0.18 1 0.18 1 0.18 0.82 1 0.82 1 0.82
9 3 100 0.753035 3 2.97049 2 1.91092 14.5 12.6891 14.5 2 541.842 1 1272.33 2 820.325 0.18 1 0.18 1 0.18 0.82 1 0.82 1 0.82
10 3 100 0.753113 3 2.96374 2 1.93856 14.5 12.6891 14.5 2 560.56 1 1237.74 2 814.609 0.174 1 0.18 2 0.178 0.82 2 0.826 1 0.822




Configuration FHD_rang_c=0.979_n=500_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 4 100 0.351554 4 1.68748 2 1.31927 9.45455 6.46425 4.27885 3 194.334 4 1270.67 3 615.318 0.316 1 0.322 2 0.3175 0.678 2 0.684 1 0.6825
2 4 100 0.386522 4 1.72905 3 1.31659 9.6 6.32017 4.53125 3 230.692 4 1276.25 3 613.161 0.316 2 0.32 1 0.3175 0.68 1 0.684 2 0.6825
3 4 100 0.386484 4 1.72766 3 1.3288 9.6 6.32017 4.53125 3 223.832 4 1261.06 3 611.594 0.316 1 0.316 1 0.316 0.684 1 0.684 1 0.684
4 4 100 0.35152 4 1.68755 3 1.29552 9.45455 6.46425 4.27885 3 200.704 4 1310.85 3 611.324 0.314 1 0.318 2 0.3165 0.682 2 0.686 1 0.6835
5 4 100 0.351554 4 1.68473 3 1.29937 9.45455 6.46425 4.27885 3 199.724 4 1289.68 3 610.809 0.316 3 0.32 1 0.3175 0.68 1 0.684 3 0.6825
6 4 100 0.34796 4 1.6957 2 1.31506 9.54545 6.47854 4.24762 3 190.512 4 1275.37 3 613.039 0.316 3 0.318 1 0.317 0.682 1 0.684 3 0.683
7 4 100 0.386553 4 1.72399 3 1.30126 9.6 6.32017 4.53125 3 242.158 4 1289.78 3 610.516 0.314 2 0.318 1 0.316 0.682 1 0.686 2 0.684
8 4 100 0.386093 4 1.73384 3 1.33261 9.6 6.32017 4.53125 3 214.62 4 1251.26 3 608.286 0.316 2 0.32 1 0.317 0.68 1 0.684 2 0.683
9 4 100 0.351534 4 1.69034 2 1.31152 9.45455 6.46425 4.27885 3 195.02 4 1283.6 3 615.244 0.312 2 0.322 1 0.3165 0.678 1 0.688 2 0.6835
10 5 100 0.0447661 5 1.7278 3 1.07386 9.6 5.25608 4.53125 3 3.626 5 1265.87 3 488.765 0.308 1 0.32 2 0.316 0.68 2 0.692 1 0.684




Configuration FHD_rang_c=0.945_n=1000_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 0.217072 3 3.87453 2 2.21793 17.3636 24.4703 17.3636 2 79.38 3 1701.82 2 814.527 0.085 1 0.089 2 0.0876667 0.911 2 0.915 1 0.912333
2 3 100 0.217072 3 3.84365 2 2.20295 17.3636 24.4703 17.3636 2 74.97 3 1723.28 2 816.912 0.089 2 0.092 1 0.09 0.908 1 0.911 2 0.91
3 3 100 0.217048 3 3.85969 2 2.21296 17.3636 24.4703 17.3636 2 75.264 3 1708.29 2 814.984 0.089 3 0.092 1 0.0903333 0.908 1 0.911 3 0.909667
4 3 100 0.217072 3 3.87576 2 2.21579 17.3636 24.4703 17.3636 2 77.175 3 1719.07 2 814.625 0.089 1 0.089 1 0.089 0.911 1 0.911 1 0.911
5 3 100 0.217048 3 3.8688 2 2.20834 17.3636 24.4703 17.3636 2 75.264 3 1725.34 2 817.99 0.089 2 0.09 1 0.0893333 0.91 1 0.911 2 0.910667
6 3 100 0.214535 3 3.89942 2 2.2066 17.3818 24.4759 17.3818 2 77.616 3 1715.49 2 814.478 0.088 1 0.089 2 0.0886667 0.911 2 0.912 1 0.911333
7 3 100 0.214535 3 3.89452 2 2.2035 17.3818 24.4759 17.3818 2 77.616 3 1722.15 2 813.433 0.089 2 0.095 1 0.091 0.905 1 0.911 2 0.909
8 3 100 0.217066 3 3.8539 2 2.22245 17.3636 24.4703 17.3636 2 75.117 3 1695.3 2 817.696 0.086 1 0.089 2 0.088 0.911 2 0.914 1 0.912
9 3 100 0.214535 3 3.88536 2 2.20335 17.3818 24.4759 17.3818 2 77.616 3 1713.33 2 814.249 0.086 1 0.089 2 0.088 0.911 2 0.914 1 0.912
10 3 100 0.217067 3 3.86523 2 2.21193 17.3636 24.4703 17.3636 2 77.322 3 1718.97 2 817.32 0.089 1 0.09 2 0.0893333 0.91 2 0.911 1 0.910667




Configuration FHD_rang_c=0.955_n=1000_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 0.37969 3 3.9236 2 2.24073 19.4222 21.8555 19.4222 2 222.264 3 1595.98 2 814.527 0.104 3 0.105 1 0.104667 0.895 1 0.896 3 0.895333
2 3 100 0.379679 3 3.91619 2 2.23152 19.4222 21.8555 19.4222 2 210.112 3 1626.41 2 816.912 0.104 1 0.105 3 0.104333 0.895 3 0.896 1 0.895667
3 3 100 0.3796 3 3.92656 2 2.24236 19.4222 21.8555 19.4222 2 211.68 3 1608.33 2 814.984 0.103 1 0.105 2 0.104333 0.895 2 0.897 1 0.895667
4 3 100 0.379688 3 3.94672 2 2.24823 19.4222 21.8555 19.4222 2 216.188 3 1614.6 2 814.625 0.104 1 0.104 1 0.104 0.896 1 0.896 1 0.896
5 3 100 0.379581 3 3.94137 2 2.23954 19.4222 21.8555 19.4222 2 211.827 3 1625.18 2 817.99 0.103 1 0.105 2 0.104333 0.895 2 0.897 1 0.895667
6 3 100 0.379689 3 3.95237 2 2.23512 19.4222 21.8555 19.4222 2 222.313 3 1605.19 2 814.478 0.105 2 0.11 1 0.106667 0.89 1 0.895 2 0.893333
7 3 100 0.379685 3 3.9507 2 2.23326 19.4222 21.8555 19.4222 2 222.362 3 1611.22 2 813.433 0.104 1 0.105 2 0.104333 0.895 2 0.896 1 0.895667
8 3 100 0.379669 3 3.91309 2 2.24644 19.4222 21.8555 19.4222 2 210.749 3 1599.07 2 817.696 0.105 2 0.108 1 0.106 0.892 1 0.895 2 0.894
9 3 100 0.37969 3 3.93655 2 2.22999 19.4222 21.8555 19.4222 2 222.264 3 1604.11 2 814.249 0.103 1 0.105 3 0.104 0.895 3 0.897 1 0.896
10 3 100 0.377944 3 3.93267 2 2.24033 19.4444 21.8624 19.4444 2 215.208 3 1617.83 2 817.32 0.104 2 0.106 1 0.105 0.894 1 0.896 2 0.895




Configuration FHD_rang_c=0.979_n=1000_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 4 100 0.0316386 4 2.59477 2 1.47496 17.1429 10.4797 2.775 3 1.764 4 1134.45 3 610.895 0.191 2 0.197 1 0.1925 0.803 1 0.809 2 0.8075
2 3 100 1.32935 3 2.71151 2 1.98252 17.1429 13.6402 2.77778 3 488.236 1 1106.37 3 816.912 0.191 2 0.195 1 0.192333 0.805 1 0.809 2 0.807667
3 4 100 0.0316386 4 2.66051 2 1.49113 17.1429 10.4797 2.775 3 1.666 4 1113.48 3 611.238 0.187 1 0.192 2 0.19025 0.808 2 0.813 1 0.80975
4 3 100 1.3313 3 2.67313 2 1.98796 17.1429 13.6402 2.77778 3 496.762 1 1124.5 3 814.625 0.189 1 0.191 3 0.19 0.809 3 0.811 1 0.81
5 3 100 1.33014 3 2.675 2 1.97616 17.1429 13.6402 2.77778 3 494.9 1 1124.45 3 817.99 0.19 1 0.192 2 0.191 0.808 2 0.81 1 0.809
6 3 100 1.33232 3 2.60163 2 1.95345 17.1429 13.6402 2.77778 3 499.947 1 1144.59 3 814.478 0.189 1 0.191 3 0.19 0.809 3 0.811 1 0.81
7 3 100 1.33501 3 2.59927 2 1.94884 17.0952 13.6269 2.78552 3 489.657 1 1148.71 3 813.433 0.191 3 0.196 1 0.193 0.804 1 0.809 3 0.807
8 3 100 1.33408 3 2.65963 2 1.9871 17.0952 13.6269 2.78552 3 517.342 1 1104.71 3 817.696 0.186 1 0.193 2 0.19 0.807 2 0.814 1 0.81
9 4 100 0.0316386 4 2.61186 2 1.47037 17.1429 10.4797 2.775 3 1.764 4 1137.09 3 610.687 0.19 1 0.192 2 0.191 0.808 2 0.81 1 0.809
10 4 100 0.0316386 4 2.65102 2 1.48587 17.1429 10.4797 2.775 3 1.715 4 1127.78 3 612.99 0.19 1 0.192 3 0.191 0.808 3 0.81 1 0.809




Configuration FHD_tour_t=2_n=100_delta=50
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 10 5000 0.100504 10 0.524428 8 0.366029 2 1.62527 1.58537 7 19.6 10 490.98 8 239.218 0.66 3 0.74 9 0.687 0.26 9 0.34 3 0.313
2 9 5000 0.229339 9 0.529246 7 0.419822 2 1.70402 1.55319 7 95.06 9 506.17 7 268.956 0.64 2 0.73 9 0.685556 0.27 9 0.36 2 0.314444
