
Configuration FH_rang_c=0.945_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 0.5062 3 3.20881 2 1.97475 14.2143 14.4902 14.2143 2 7.39 3 30.566 2 16.628 0.152 2 0.156 1 0.153333 0.844 1 0.848 2 0.846667
2 3 100 0.527946 3 3.22086 2 1.97835 14.4815 14.2534 14.4815 2 8.116 3 30.16 2 16.684 0.152 1 0.154 3 0.152667 0.846 3 0.848 1 0.847333
3 3 100 0.527908 3 3.20167 2 1.99368 14.4815 14.2534 14.4815 2 7.658 3 30.276 2 16.792 0.15 1 0.154 2 0.152 0.846 2 0.85 1 0.848
4 3 100 0.506222 3 3.19828 2 1.9686 14.2143 14.4902 14.2143 2 7.358 3 30.206 2 16.53 0.152 2 0.156 1 0.154 0.844 1 0.848 2 0.846
5 3 100 0.505961 3 3.22266 2 1.96901 14.2143 14.4902 14.2143 2 7.04 3 30.962 2 16.6727 0.152 1 0.154 2 0.153333 0.846 2 0.848 1 0.846667
6 3 100 0.507403 3 3.21251 2 2.00544 14.1786 14.4793 14.1786 2 6.674 3 30.43 2 16.57 0.15 1 0.154 2 0.152667 0.846 2 0.85 1 0.847333
7 3 100 0.524839 3 3.23679 2 1.97899 14.5185 14.2647 14.5185 2 7.828 3 29.828 2 16.5313 0.152 2 0.16 1 0.155333 0.84 1 0.848 2 0.844667
8 3 100 0.524848 3 3.22796 2 1.94958 14.5185 14.2647 14.5185 2 8.042 3 30.446 2 16.7187 0.152 3 0.154 1 0.153333 0.846 1 0.848 3 0.846667
9 3 100 0.505258 3 3.25024 2 1.96324 14.2143 14.4902 14.2143 2 6.936 3 31.508 2 16.6313 0.152 2 0.158 1 0.154 0.842 1 0.848 2 0.846
10 3 100 0.527726 3 3.24239 2 1.9863 14.4815 14.2534 14.4815 2 7.744 3 30.23 2 16.6373 0.154 1 0.154 1 0.154 0.846 1 0.846 1 0.846




Configuration FH_rang_c=0.955_n=500
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 0.727216 3 2.95873 2 1.91642 14.2174 12.9155 14.2174 2 11.14 1 26.152 2 16.628 0.178 1 0.178 1 0.178 0.822 1 0.822 1 0.822
2 3 100 0.727257 3 2.94736 2 1.90746 14.2174 12.9155 14.2174 2 11.03 1 26.09 2 16.684 0.18 2 0.186 1 0.182 0.814 1 0.82 2 0.818
3 3 100 0.730193 3 2.95106 2 1.92763 14.1739 12.9026 14.1739 2 11.614 1 26.448 2 16.792 0.174 1 0.182 2 0.178667 0.818 2 0.826 1 0.821333
4 3 100 0.753178 3 2.94406 2 1.90943 14.5 12.6891 14.5 2 11.096 1 25.404 2 16.53 0.178 2 0.182 1 0.18 0.818 1 0.822 2 0.82
5 3 100 0.752421 3 3.00133 2 1.92276 14.5 12.6891 14.5 2 11.112 1 26.284 2 16.6727 0.178 2 0.182 1 0.179333 0.818 1 0.822 2 0.820667
6 3 100 0.752 3 2.99374 2 1.95624 14.4545 12.6756 14.4545 2 11.654 1 25.964 2 16.57 0.178 1 0.182 2 0.18 0.818 2 0.822 1 0.82
7 3 100 0.756349 3 2.95582 2 1.91889 14.4545 12.6756 14.4545 2 11.22 1 25.112 2 16.5313 0.17 1 0.18 2 0.176667 0.82 2 0.83 1 0.823333
8 3 100 0.756393 3 2.94336 2 1.88447 14.4545 12.6756 14.4545 2 10.876 1 25.668 2 16.7187 0.178 1 0.182 2 0.18 0.818 2 0.822 1 0.82
9 3 100 0.750551 3 3.03442 2 1.91876 14.5 12.6891 14.5 2 10.576 1 26.754 2 16.6313 0.178 2 0.188 1 0.182 0.812 1 0.822 2 0.818
10 3 100 0.729896 3 2.97876 2 1.92254 14.1739 12.9026 14.1739 2 11.23 1 26.178 2 16.6373 0.178 1 0.18 2 0.179333 0.82 2 0.822 1 0.820667




Configuration FH_rang_c=0.979_n=500
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 4 100 0.351537 4 1.68529 3 1.30999 9.45455 6.46425 4.27885 3 3.982 4 26.06 3 12.471 0.31 2 0.326 1 0.317 0.674 1 0.69 2 0.683
2 4 100 0.347932 4 1.68964 3 1.30538 9.45455 6.46602 4.28846 3 4.018 4 26.486 3 12.513 0.304 1 0.316 2 0.3125 0.684 2 0.696 1 0.6875
3 4 100 0.351515 4 1.71841 2 1.33103 9.45455 6.46425 4.27885 3 3.864 4 25.682 3 12.594 0.31 1 0.316 2 0.3145 0.684 2 0.69 1 0.6855
